Student_id,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,Output
1,160.4476068,12.44825044,3.183175704,1.141129296,0.46662807,2.537047437,1.398069113,0.974062394,0.52908369,0.322326465,1.562677282,1.283557099,0.814696394,0.496215606,0.346839394,0.061796944,0.057181958,0.077277127,0.047094732,0.049278169,118.884316,10.07681537,2.804781465,1.135809282,0.508367718,3
1,117.6481603,9.18198838,2.967610915,1.100106451,0.395282394,2.492153014,1.209976606,0.849493268,0.608738141,0.361383338,1.601847127,0.960882746,0.873103521,0.426263521,0.353662423,0.029361437,0.071427394,0.033100465,0.020875254,0.012078465,75.25531376,6.763135028,2.595313042,1.05911093,0.364781634,2
1,126.2733215,12.55647977,2.818599817,1.118187887,0.344501451,3.07823131,1.749385521,1.18655062,0.693809761,0.418357268,2.407999606,1.35173969,1.231891437,0.623674662,0.374146831,0.030896155,0.030845113,0.048277085,0.043718606,0.03774431,85.26943423,9.598544944,2.749600676,1.018425169,0.385542648,1
2,102.210565,20.07044261,8.213163333,3.06887709,1.463149856,57.6784181,15.48785603,7.340485333,2.451780631,1.701128973,55.19282835,14.01114346,8.586893991,3.481767613,1.916285054,0.17185045,0.08199064,0.046794288,0.028934667,0.029168793,91.87046409,19.31413495,8.212285523,2.993474577,1.478992586,3
2,21.79124097,3.453715093,3.027243147,1.281411,0.615185787,2.351580147,1.28598908,1.158257933,0.81705492,0.571785013,7.48769988,2.343654347,1.5684268,0.853386987,0.52184212,0.266670533,0.086098547,0.04526192,0.025761627,0.019047,15.19268735,3.509096373,2.35356156,1.465752947,0.701479093,2
2,39.79973369,8.588342309,3.770318543,2.500969901,1.055936148,10.66656032,4.082985691,2.455680136,1.868347914,1.292872407,5.496214728,3.568542778,1.752189136,1.465732716,0.782435691,1.221044222,0.419529617,0.224135753,0.085777667,0.062977321,30.01813275,8.102197778,3.90559258,2.473109926,0.958168025,1
3,37.1422494,41.52815227,99.00494694,114.6914458,150.5234231,18.29191281,37.99882637,98.83998184,115.4757755,156.3079344,328.7480423,125.0829266,118.3717808,109.4307572,123.504727,0.017512259,0.022406667,0.010254593,0.009194111,0.011284309,29.14220281,39.85572532,99.02575652,117.4662092,151.1233725,3
3,35.51618885,6.803122254,3.353475576,1.711136644,1.529180949,21.51482912,4.063040949,2.377744508,1.695457983,1.723709305,12.04891288,2.900791424,1.529596915,1.103438424,0.933575203,0.073809695,0.078550746,0.054891864,0.031219068,0.040129475,31.3393569,6.164235356,2.686296424,2.542702932,1.850280593,2
3,1338.760394,251.7036858,139.3952944,43.34917445,13.89651677,1246.546165,249.4835808,146.6446314,45.89115578,14.31257733,613.9662056,136.6388738,80.97399692,27.09217123,8.902116783,0.1741648,0.08015015,0.056783217,0.06573705,0.050828967,1308.086468,249.4428482,140.7005294,46.7999668,13.94148723,1
4,5.016496854,2.552874449,1.434555506,1.00314064,0.598974348,25.59174694,8.945484449,4.43935409,1.475430449,0.97787291,3.450281337,2.947183101,1.97766864,0.982626461,0.547061944,0.085224539,0.05937482,0.062085112,0.059460056,0.046215112,5.202115528,2.517394124,1.433305045,0.961838494,0.532024371,3
